Date,Price,Open,High,Low,Vol.,Change %
Dec 14, 2015,37.92,37.85,38.43,36.33,115.12,-0.03%
Dec 11, 2015,37.93,39.55,39.74,37.36,167.31,-4.53%
Dec 10, 2015,39.73,40.44,40.7,39.46,188.99,-0.95%
Dec 09, 2015,40.11,40.63,41.59,39.57,284.65,-0.37%
Dec 08, 2015,40.26,40.82,41.45,39.81,328.38,-1.15%
Dec 07, 2015,40.73,43.26,43.26,40.6,272.44,-5.28%
Dec 04, 2015,43,43.98,44.82,42.67,345.83,-1.92%
Dec 03, 2015,43.84,42.77,44.69,42.61,271.48,3.18%
Dec 02, 2015,42.49,44.32,44.64,42.43,324.06,-4.39%
Dec 01, 2015,44.44,44.62,45.18,44.03,301.20,-0.38%
Nov 30, 2015,44.61,44.86,45.75,44.44,235.94,-0.56%
Nov 27, 2015,44.86,45.57,45.63,44.79,165.31,-1.32%
Nov 26, 2015,45.46,46.23,46.32,45,97.32,-1.54%
Nov 25, 2015,46.17,46.04,46.5,45.03,229.11,0.11%
Nov 24, 2015,46.12,45.11,46.5,44.92,271.93,2.88%
Nov 23, 2015,44.83,44.46,45.73,43.57,291.00,0.38%
Nov 20, 2015,44.66,44.38,45.5,44.06,245.34,1.09%
Nov 19, 2015,44.18,44.3,44.76,43.7,201.03,0.09%
Nov 18, 2015,44.14,43.97,44.74,43.34,255.68,1.31%
Nov 17, 2015,43.57,44.7,45.1,43.5,260.70,-2.22%
Nov 16, 2015,44.56,44.7,45.18,43.15,310.12,2.18%
Nov 13, 2015,43.61,44.08,44.85,43.57,28.63,-1.02%
Nov 12, 2015,44.06,45.92,46.27,43.89,132.49,-3.82%
Nov 11, 2015,45.81,47.08,47.73,45.62,193.34,-3.44%
Nov 10, 2015,47.44,47.32,47.86,46.96,206.34,0.53%
Nov 09, 2015,47.19,47.46,48.41,47.01,202.18,-0.49%
Nov 06, 2015,47.42,48.05,48.58,47.27,245.49,-1.17%
Nov 05, 2015,47.98,48.84,49,47.93,228.00,-1.24%
Nov 04, 2015,48.58,50.25,50.87,48.49,328.14,-3.88%
Nov 03, 2015,50.54,48.9,50.91,48.46,283.36,3.59%
Nov 02, 2015,48.79,49.5,49.69,48.61,224.28,-1.55%
Oct 30, 2015,49.56,48.66,50,48.28,238.59,1.56%
Oct 29, 2015,48.8,49.15,49.38,48.17,213.93,-0.51%
Oct 28, 2015,49.05,46.91,49.23,46.61,306.60,4.79%
Oct 27, 2015,46.81,47.43,47.57,46.41,243.11,-1.54%
Oct 26, 2015,47.54,48,48.33,47.3,193.98,-0.94%
Oct 23, 2015,47.99,48.32,48.65,47.45,242.06,-0.19%
Oct 22, 2015,48.08,47.96,48.73,47.65,201.59,0.48%
Oct 21, 2015,47.85,48.58,48.65,47.5,244.64,-1.77%
Oct 20, 2015,48.71,48.83,49.2,48.22,253.33,0.21%
Oct 19, 2015,48.61,50.38,50.68,48.57,223.31,-3.67%
Oct 16, 2015,50.46,50.21,50.7,49.31,225.96,3.59%
Oct 15, 2015,48.71,49.01,49.38,48.21,16.79,-0.90%
Oct 14, 2015,49.15,49.22,49.52,48.71,63.28,-0.18%
Oct 13, 2015,49.24,50.27,50.7,48.88,108.37,-1.24%
Oct 12, 2015,49.86,52.64,53.31,49.77,166.83,-5.30%
Oct 09, 2015,52.65,53.35,54.05,52.21,174.34,-0.75%
Oct 08, 2015,53.05,51.76,53.52,51.28,219.94,3.35%
Oct 07, 2015,51.33,52.15,53.15,51.21,299.91,-1.14%
Oct 06, 2015,51.92,49.35,52.26,48.86,303.58,5.42%
Oct 05, 2015,49.25,48.08,49.87,47.84,215.45,2.33%
Oct 02, 2015,48.13,47.99,48.5,46.93,201.59,0.92%
